,combination,correlation,pca_num,accuracy
0,"('pain', 'rest')",precision,10,0.4090909090909091
0,"('pain', 'rest')",precision,11,0.36363636363636365
0,"('pain', 'rest')",precision,12,0.2727272727272727
0,"('pain', 'rest')",precision,13,0.22727272727272727
0,"('pain', 'rest')",precision,14,0.22727272727272727
0,"('pain', 'rest')",precision,15,0.18181818181818182
0,"('pain', 'rest')",precision,16,0.3181818181818182
0,"('pain', 'rest')",precision,17,0.4090909090909091
0,"('pain', 'rest')",precision,18,0.4090909090909091
0,"('pain', 'rest')",precision,19,0.36363636363636365
0,"('pain', 'rest')",precision,20,0.2727272727272727
0,"('pain', 'rest')",precision,21,0.09090909090909091
0,"('pain', 'rest')",precision,22,0.09090909090909091
0,"('pain', 'rest')",precision,23,0.09090909090909091
0,"('pain', 'rest')",precision,24,0.09090909090909091
0,"('pain', 'rest')",precision,25,0.09090909090909091
0,"('pain', 'rest')",precision,26,0.09090909090909091
0,"('pain', 'rest')",precision,27,0.09090909090909091
0,"('pain', 'rest')",precision,28,0.09090909090909091
0,"('pain', 'rest')",precision,29,0.09090909090909091
0,"('relief', 'rest')",precision,1,0.45454545454545453
0,"('relief', 'rest')",precision,2,0.5
0,"('relief', 'rest')",precision,3,0.45454545454545453
0,"('relief', 'rest')",precision,4,0.45454545454545453
0,"('relief', 'rest')",precision,5,0.4090909090909091
0,"('relief', 'rest')",precision,6,0.36363636363636365
0,"('relief', 'rest')",precision,7,0.3181818181818182
0,"('relief', 'rest')",precision,8,0.2727272727272727
0,"('relief', 'rest')",precision,9,0.3181818181818182
0,"('relief', 'rest')",precision,10,0.22727272727272727
0,"('relief', 'rest')",precision,11,0.22727272727272727
0,"('relief', 'rest')",precision,12,0.2727272727272727
0,"('relief', 'rest')",precision,13,0.4090909090909091
0,"('relief', 'rest')",precision,14,0.5
0,"('relief', 'rest')",precision,15,0.45454545454545453
0,"('relief', 'rest')",precision,16,0.5
0,"('relief', 'rest')",precision,17,0.5
0,"('relief', 'rest')",precision,18,0.45454545454545453
0,"('relief', 'rest')",precision,19,0.45454545454545453
0,"('relief', 'rest')",precision,20,0.4090909090909091
0,"('relief', 'rest')",precision,21,0.3181818181818182
0,"('relief', 'rest')",precision,22,0.3181818181818182
0,"('relief', 'rest')",precision,23,0.3181818181818182
0,"('relief', 'rest')",precision,24,0.3181818181818182
0,"('relief', 'rest')",precision,25,0.3181818181818182
0,"('relief', 'rest')",precision,26,0.3181818181818182
0,"('relief', 'rest')",precision,27,0.3181818181818182
0,"('relief', 'rest')",precision,28,0.3181818181818182
0,"('relief', 'rest')",precision,29,0.3181818181818182
